Rating,MRP,Processor,Display,OS,Brand,RAMSize,RAMType,Storage_HDD,Storage_SSD
4.3,199990.0,Ryzen 9 Octa Core Processor,39.62,Windows,ASUS,16,DDR5 ,0,1000
3.9,41090.0,Intel Core i3 Processor,35.56,Windows,DELL,8,DDR4 ,0,256
4.3,50499.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,256
4.3,78950.0,Ryzen 7 Octa Core Processor,40.89,Windows,HP,8,DDR4 ,0,512
4.3,67990.0,Ryzen 5 Hexa Core Processor,35.56,Windows,LENOVO,16,LPDDR4X ,0,512
4.0,187990.0,Ryzen 9 Octa Core Processor,39.62,Windows,ASUS,16,DDR4 ,0,1000
4.2,102990.0,Intel Core i7 Processor,35.56,Windows,LENOVO,16,DDR4 ,0,1000
4.3,35990.0,Intel Core i3 Processor,39.62,DOS,ASUS,4,DDR4 ,0,256
4.4,52575.0,Ryzen 5 Quad Core Processor,39.62,Windows,HP,8,DDR4 ,0,512
4.0,50990.0,Ryzen 5 Quad Core Processor,39.62,Windows,DELL,8,DDR4 ,0,512
4.3,60125.0,Intel Core i5 Processor,39.62,Windows,LENOVO,16,DDR4 ,0,512
3.9,26490.0,Intel Celeron Dual Core Processor,29.46,Windows,LENOVO,4,DDR4 ,0,256
4.3,80249.0,Ryzen 7 Octa Core Processor,40.89,Windows,HP,8,DDR4 ,0,512
4.5,129999.0,Intel Core i5 Processor,39.62,Windows,ACER,8,DDR4 ,1000,128
4.3,76990.0,Ryzen 7 Octa Core Processor,35.56,Windows,ASUS,8,DDR4 ,0,1000
4.2,36990.0,Intel Core i3 Processor,39.62,Windows,ASUS,8,DDR4 ,0,512
4.6,107790.0,Intel Core i7 Processor,39.62,Windows,MSI,16,DDR4 ,0,512
4.2,75990.0,Intel Core i5 Processor,35.56,Windows,DELL,16,DDR4 ,0,512
4.5,95990.0,Intel Core i5 Processor,35.56,Windows,ASUS,16,LPDDR4X ,0,512
3.7,61999.0,Intel Core i5 Processor,39.62,Windows,ACER,8,DDR4 ,0,512
4.3,28990.0,Intel Celeron Dual Core Processor,35.56,Windows,HP,8,DDR4 ,0,256
4.3,54990.0,Intel Core i5 Processor,39.62,Windows,LENOVO,8,DDR4 ,0,512
4.3,56990.0,Intel Core i7 Processor,39.62,Windows,ASUS,16,DDR4 ,0,512
5.0,45990.0,Intel Core i5 Processor,35.56,Windows,ASUS,8,DDR4 ,0,256
4.3,38216.0,Intel Core i3 Processor,35.81,Windows,ASUS,8,DDR4 ,0,512
4.1,79990.0,Intel Core i7 Processor,39.62,Windows,MSI,8,DDR4 ,0,512
4.6,43990.0,Intel Core i3 Processor,39.62,Windows,DELL,4,DDR4 ,1000,256
